FirstRJ,TotalTests,FirstRJRatio
0,2,0.00000
1,2,0.50000
0,65,0.00000
0,20,0.00000
7,55,0.12727
6,175,0.03429
0,57,0.00000
24,40,0.60000
11,67,0.16418
57,81,0.70370
1,81,0.01235
0,109,0.00000
13,81,0.16049
14,81,0.17284
57,81,0.70370
0,81,0.00000
1,81,0.01235
0,81,0.00000
1,71,0.01408
0,81,0.00000
23,81,0.28395
1,81,0.01235
2,81,0.02469
13,81,0.16049
2,81,0.02469
13,81,0.16049
27,40,0.67500
11,81,0.13580
57,81,0.70370
1,55,0.01818
14,81,0.17284
57,81,0.70370
11,81,0.13580
16,81,0.19753
1,81,0.01235
0,50,0.00000
3,81,0.03704
2,81,0.02469
11,81,0.13580
14,81,0.17284
57,81,0.70370
11,81,0.13580
57,81,0.70370
11,81,0.13580
21,81,0.25926
14,81,0.17284
11,81,0.13580
57,81,0.70370
57,81,0.70370
1,81,0.01235
13,81,0.16049
13,81,0.16049
57,81,0.70370
11,81,0.13580
0,81,0.00000
14,81,0.17284
0,70,0.00000
16,81,0.19753
57,81,0.70370
57,81,0.70370
44,55,0.80000
0,29,0.00000
74,81,0.91358
10,81,0.12346
14,81,0.17284
1,81,0.01235
0,81,0.00000
11,81,0.13580
15,81,0.18519
11,81,0.13580
57,81,0.70370
14,81,0.17284
4,56,0.07143
57,81,0.70370
37,81,0.45679
0,81,0.00000
13,81,0.16049
57,81,0.70370
57,81,0.70370
11,81,0.13580
10,81,0.12346
2,81,0.02469
13,81,0.16049
16,81,0.19753
1,81,0.01235
0,81,0.00000
58,64,0.90625
11,81,0.13580
11,81,0.13580
1,81,0.01235
13,81,0.16049
1,1,1.00000
57,81,0.70370
1,81,0.01235
13,81,0.16049
57,81,0.70370
0,3,0.00000
11,81,0.13580
16,81,0.19753
4,81,0.04938
0,70,0.00000
13,81,0.16049
13,81,0.16049
0,81,0.00000
57,81,0.70370
13,81,0.16049
0,81,0.00000
16,81,0.19753
10,81,0.12346
57,81,0.70370
13,81,0.16049
0,70,0.00000
8,81,0.09877
57,81,0.70370
4,81,0.04938
13,81,0.16049
57,81,0.70370
0,81,0.00000
14,81,0.17284
18,33,0.54545
11,81,0.13580
57,81,0.70370
1,81,0.01235
57,81,0.70370
16,81,0.19753
0,31,0.00000
0,81,0.00000
4,28,0.14286
4,34,0.11765
0,35,0.00000
1,1,1.00000
57,81,0.70370
4,81,0.04938
11,81,0.13580
14,81,0.17284
13,81,0.16049
13,81,0.16049
57,81,0.70370
8,81,0.09877
13,81,0.16049
0,70,0.00000
0,70,0.00000
1,70,0.01429
0,81,0.00000
11,81,0.13580
1,1,1.00000
57,81,0.70370
0,55,0.00000
2,81,0.02469
13,81,0.16049
11,81,0.13580
57,81,0.70370
13,81,0.16049
0,81,0.00000
0,44,0.00000
14,81,0.17284
1,81,0.01235
9,81,0.11111
11,81,0.13580
14,81,0.17284
16,81,0.19753
14,81,0.17284
57,81,0.70370
16,81,0.19753
12,81,0.14815
9,81,0.11111
57,81,0.70370
2,81,0.02469
11,81,0.13580
57,81,0.70370
0,81,0.00000
14,81,0.17284
57,81,0.70370
16,81,0.19753
57,81,0.70370
57,81,0.70370
11,81,0.13580
1,81,0.01235
57,81,0.70370
1,81,0.01235
57,81,0.70370
13,81,0.16049
31,32,0.96875
11,81,0.13580
57,81,0.70370
6,70,0.08571
57,81,0.70370
15,81,0.18519
8,81,0.09877
13,81,0.16049
1,81,0.01235
0,44,0.00000
14,81,0.17284
15,81,0.18519
57,81,0.70370
2,33,0.06061
57,81,0.70370
10,81,0.12346
13,81,0.16049
1,81,0.01235
57,81,0.70370
1,1,1.00000
57,81,0.70370
0,81,0.00000
4,81,0.04938
9,81,0.11111
15,81,0.18519
9,81,0.11111
11,81,0.13580
10,81,0.12346
74,81,0.91358
57,81,0.70370
57,81,0.70370
0,70,0.00000
1,81,0.01235
16,81,0.19753
57,81,0.70370
16,81,0.19753
57,81,0.70370
16,81,0.19753
0,81,0.00000
0,81,0.00000
0,70,0.00000
4,81,0.04938
1,81,0.01235
1,1,1.00000
57,81,0.70370
2,81,0.02469
0,81,0.00000
