SubmitTime,Problem,InvokerTime,Invocations,TestCount,TL
4749,0,581,8,65,1000
20106,17,8096,57,57,2000
22294,28,3001,40,40,1000
24827,39,296,4,37,6000
38456,50,456,6,65,1000
45697,61,3305,27,27,2000
57822,72,376,5,31,1000
58976,83,15371,20,28,3000
73852,94,59,1,51,2000
87902,1,97,1,27,10000
87976,8,3616,31,47,1000
89197,9,23661,63,63,2000
92485,10,4402,59,59,2000
111431,11,344,5,34,2000
112602,12,7546,89,89,2000
115879,13,4620,61,61,1000
117370,15,628,3,43,1500
117466,15,589,3,43,1500
117704,14,3658,3,42,3500
118414,16,228,2,28,1000
123679,0,950,12,65,1000
124559,18,1495,20,20,2000
126012,19,1528,7,53,1000
133884,20,2615,36,36,2000
140100,21,186,3,56,500
150434,24,79,1,71,2000
150477,23,72,1,35,2000
150560,22,51216,66,68,2000
162821,83,383,6,28,3000
175434,25,95,1,1,2000
181474,26,54811,62,62,3000
183026,27,109,2,20,1000
188331,29,5513,76,76,2000
198205,30,862,11,46,2000
200755,83,72,1,28,3000
202987,25,60,1,31,2000
211050,31,13104,65,65,1000
221006,32,94,1,34,1000
237020,94,1081,9,51,2000
243593,33,3206,40,40,2000
249774,23,561,8,35,2000
253826,34,90,1,45,1000
264945,83,68,1,28,3000
276906,27,159,2,20,1000
280312,35,898,12,66,1000
285283,83,19697,28,28,3000
297779,36,2129,28,84,2000
298414,37,2708,38,38,1000
316021,83,921,12,28,3000
319503,38,4046,34,34,1000
322828,40,174,3,21,1000
327774,41,274,3,35,1000
330585,42,3136,26,26,2000
334328,43,206,3,40,2000
349577,44,1730,23,23,2000
357965,45,2754,39,39,2000
358806,10,61,1,59,2000
361814,46,1184,15,15,1000
372302,47,257,3,81,1000
373428,28,303,4,40,1000
378261,83,15460,20,28,3000
388076,48,1866,25,25,1000
391196,49,3014,41,41,1000
393977,25,2399,31,31,2000
404594,51,6194,54,54,1000
406252,9,1155,7,63,2000
406713,52,910,6,32,1000
407280,40,1559,21,21,1000
418436,32,83,1,34,1000
426299,53,1340,19,29,2000
448328,83,20730,28,28,3000
453460,54,61,1,1,1000
454910,94,597,9,51,2000
458155,34,3270,45,45,1000
471781,55,1571,21,21,2000
479064,56,2104,31,31,1000
481388,57,1706,20,80,1500
484784,58,80,1,1,2000
489511,23,58,1,1,2000
490243,47,10334,81,81,1000
494867,10,70,1,59,2000
498052,60,23236,35,49,6000
498053,59,8628,54,54,2000
498226,62,4744,45,45,2000
498283,60,11827,49,49,6000
498295,60,7448,49,49,6000
498332,60,60416,49,49,6000
498356,60,57364,49,49,6000
498380,60,168,2,49,6000
498423,59,1968,13,54,2000
498475,60,21196,35,49,6000
498487,59,4637,54,54,2000
498505,60,12103,20,49,6000
498559,59,8761,54,54,2000
498602,60,63886,49,49,6000
498693,59,9721,54,54,2000
498708,60,12304,49,49,6000
498715,59,11181,50,54,2000
498726,60,12414,49,49,6000
498734,60,10590,20,49,6000
498751,59,2583,8,54,2000
498780,59,8845,54,54,2000
498849,60,372,5,49,6000
498878,60,72,1,49,6000
498880,60,1520,12,49,6000
498939,60,9666,49,49,6000
498946,59,9693,54,54,2000
498974,59,5346,54,54,2000
499069,60,5820,49,49,6000
499077,65,135363,201,201,4000
499089,64,6883,49,49,2000
499134,64,3689,49,49,2000
499194,65,6935,40,201,4000
499230,64,3609,49,49,2000
499301,60,142,2,49,6000
499359,63,2448,11,58,1000
499388,63,17124,58,58,1000
499407,60,13151,49,49,6000
499415,65,256579,201,201,4000
499417,64,3498,49,49,2000
499441,60,15588,49,49,6000
499443,64,3456,49,49,2000
499464,60,4322,49,49,6000
499490,65,44033,148,201,4000
499491,63,1766,11,58,1000
499507,64,2992,13,49,2000
499524,63,1741,11,58,1000
499564,65,6856,40,201,4000
499586,65,252150,201,201,4000
499589,63,2110,11,58,1000
499593,64,3663,49,49,2000
499604,65,103507,201,201,4000
499625,65,70236,148,201,4000
499668,60,17017,49,49,6000
499668,65,6885,41,201,4000
499686,60,94980,48,49,6000
499707,63,18414,58,58,1000
499709,63,9861,58,58,1000
499724,60,4182,49,49,6000
499765,63,1833,11,58,1000
499768,64,3584,49,49,2000
499771,63,1411,6,58,1000
499853,65,66908,77,201,4000
499925,64,26815,49,49,2000
499965,65,42138,65,201,4000
499975,63,19083,58,58,1000
499977,65,64994,148,201,4000
499977,65,10491,41,201,4000
499984,65,32406,69,201,4000
499991,63,1712,11,58,1000
499995,65,17070,49,201,4000
500014,66,5182,71,71,2000
500020,66,5427,71,71,2000
500122,68,7065,35,35,4000
500219,66,21452,70,71,2000
500246,66,61,1,1,2000
500249,66,10214,71,71,2000
500261,66,5351,71,71,2000
500326,67,74,1,1,2000
500335,68,8655,35,35,4000
500355,66,5439,71,71,2000
500551,66,5469,71,71,2000
500563,66,2811,3,71,2000
500604,68,6672,15,35,4000
500623,66,5213,71,71,2000
500676,66,2057,3,71,2000
500820,66,5068,71,71,2000
500891,66,25426,71,71,2000
500899,66,5065,68,71,2000
500916,68,4191,26,35,4000
500946,66,86,1,1,2000
500975,68,10434,35,35,4000
500979,66,85,1,1,2000
501055,69,6544,79,79,2000
501251,70,3561,45,45,2000
501255,70,6405,45,45,2000
501276,70,3394,45,45,2000
501333,69,13675,79,79,2000
501358,70,3257,45,45,2000
501507,69,6273,79,79,2000
501545,68,15686,35,35,4000
501617,70,3406,45,45,2000
501629,69,566,8,79,2000
501631,69,7059,79,79,2000
501636,68,23090,35,35,4000
501691,70,3461,45,45,2000
501851,69,6564,79,79,2000
501962,68,7383,35,35,4000
502048,71,1129,15,100,2000
502065,71,7197,100,100,2000
502091,73,4548,7,124,4000
502111,71,7122,95,100,2000
502149,71,7524,100,100,2000
502168,73,66073,124,124,4000
502172,71,10989,100,100,2000
502242,73,172294,124,124,4000
502287,73,81018,124,124,4000
502348,71,269,4,100,2000
502368,73,8161,14,124,4000
502373,73,7973,14,124,4000
502421,71,7329,100,100,2000
502477,71,7573,100,100,2000
502508,73,50085,23,124,4000
502634,73,4494,7,124,4000
502741,70,4986,45,45,2000
502904,71,14115,100,100,2000
502978,73,84435,124,124,4000
502996,73,73788,124,124,4000
503038,75,254,3,75,2000
503046,75,1815,16,75,2000
503055,73,122591,124,124,4000
503111,75,5451,75,75,2000
503132,75,10176,75,75,2000
503156,74,881,13,171,2000
503196,73,4452,7,124,4000
503198,74,11817,156,171,2000
